mean_depth,1,2,3,4,5,6,7
0.01,0.004300184977325119,0.0067353964533580675,0.008262200546056215,0.009707608216388698,0.011300869151742178,0.013349571701140234,0.01749873984930183
0.02,0.008600369954650237,0.013470792906716135,0.01652440109211243,0.019415216432777396,0.022601738303484355,0.026699143402280467,0.03499747969860366
0.03,0.012900554931975356,0.0202061893600742,0.02478660163816864,0.029122824649166094,0.03390260745522653,0.040048715103420694,0.05249621954790548
0.04,0.017200739909300475,0.02694158581343227,0.03304880218422486,0.03883043286555479,0.04520347660696871,0.053398286804560935,0.06999495939720732
0.05,0.021500924886625597,0.033676982266790334,0.04131100273028107,0.0485380410819435,0.05650434575871089,0.06674785850570117,0.08749369924650913
0.06,0.025801109863950712,0.040412378720148405,0.04957320327633728,0.05824564929833219,0.06780521491045306,0.0800974302068414,0.10499243909581096
0.07,0.030101294841275824,0.04714777517350646,0.057835403822393494,0.0679532575147209,0.07910608406219524,0.09344700190798161,0.12249117894511277
0.08,0.03440147981860095,0.05388317162686454,0.06609760436844972,0.07766086573110959,0.09040695321393742,0.10679657360912187,0.13998991879441464
0.09,0.038701664795926065,0.0606185680802226,0.07435980491450592,0.08736847394749828,0.1017078223656796,0.12014614531026209,0.15748865864371642
0.1,0.04300184977325119,0.06735396453358067,0.08262200546056214,0.09707608216388698,0.11300869151742177,0.1334957170114023,0.17498739849301825
0.11,0.047302034750576295,0.07408936098693873,0.09088420600661835,0.10678369038027569,0.12430956066916395,0.14684528871254254,0.1924861383423201
0.12,0.051602219727901424,0.0808247574402968,0.09914640655267457,0.11649129859666438,0.13561042982090613,0.16019486041368278,0.20998487819162193
0.13,0.05590240470522654,0.08756015389365487,0.10740860709873079,0.12619890681305307,0.14691129897264832,0.173544432114823,0.22748361804092374
0.14,0.06020258968255167,0.09429555034701295,0.11567080764478702,0.1359065150294418,0.15821216812439048,0.18689400381596327,0.2449823578902256
0.15,0.06450277465987678,0.101030946800371,0.12393300819084321,0.1456141232458305,0.16951303727613268,0.20024357551710353,0.26248109773952744
0.16,0.0688029596372019,0.10776634325372908,0.13219520873689944,0.15532173146221917,0.18081390642787484,0.21359314721824374,0.2799798375888293
0.17,0.07310314461452702,0.11450173970708714,0.14045740928295564,0.1650293396786079,0.19211477557961704,0.22694271891938397,0.2974785774381311
0.18,0.07740332959185214,0.12123713616044521,0.14871960982901186,0.1747369478949966,0.2034156447313592,0.2402922906205242,0.31497731728743295
0.19,0.08170351456917727,0.12797253261380329,0.1569818103750681,0.18444455611138527,0.21471651388310137,0.2536418623216644,0.33247605713673467
0.2,0.08600369954650239,0.13470792906716134,0.16524401092112428,0.194152164327774,0.22601738303484356,0.2669914340228047,0.3499747969860365
0.21,0.09030388452382751,0.14144332552051941,0.1735062114671805,0.20385977254416268,0.23731825218658573,0.2803410057239449,0.3674735368353384
0.22,0.09460406950115259,0.14817872197387746,0.1817684120132367,0.21356738076055137,0.2486191213383279,0.2936905774250851,0.3849722766846402
0.23,0.09890425447847774,0.15491411842723557,0.19003061255929293,0.2232749889769401,0.2599199904900701,0.30704014912622535,0.40247101653394207
0.24,0.10320443945580285,0.16164951488059362,0.19829281310534913,0.23298259719332876,0.27122085964181225,0.3203897208273656,0.41996975638324385
0.25,0.10750462443312796,0.16838491133395167,0.20655501365140533,0.24269020540971747,0.2825217287935544,0.33373929252850576,0.4374684962325457
0.26,0.11180480941045308,0.17512030778730975,0.21481721419746158,0.25239781362610614,0.29382259794529664,0.347088864229646,0.45496723608184747
0.27,0.11610499438777822,0.18185570424066783,0.22307941474351778,0.26210542184249486,0.3051234670970388,0.3604384359307863,0.47246597593114936
0.28,0.12040517936510334,0.1885911006940259,0.23134161528957403,0.2718130300588836,0.31642433624878097,0.37378800763192654,0.4899647157804512
0.29,0.12470536434242845,0.19532649714738395,0.23960381583563023,0.2815206382752723,0.3277252054005232,0.3871375793330668,0.507463455629753
0.3,0.12900554931975355,0.202061893600742,0.2478660163816864,0.2912282464916609,0.3390260745522653,0.40048715103420696,0.5249621954790548
0.31,0.1333057342970787,0.20879729005410008,0.2561282169277426,0.3009358547080497,0.3503269437040075,0.4138367227353472,0.5424609353283567
0.32,0.1376059192744038,0.21553268650745816,0.2643904174737989,0.31064346292443834,0.3616278128557497,0.4271862944364875,0.5599596751776585
0.33,0.14190610425172895,0.22226808296081624,0.2726526180198551,0.32035107114082706,0.37292868200749185,0.4405358661376277,0.5774584150269604
0.34,0.14620628922905404,0.2290034794141743,0.2809148185659113,0.3300586793572158,0.3842295511592341,0.45388543783876795,0.5949571548762622
0.35,0.15050647420637914,0.23573887586753234,0.28917701911196747,0.3397662875736045,0.39553042031097624,0.46723500953990815,0.612455894725564
0.36,0.1548066591837043,0.24247427232089042,0.2974392196580237,0.3494738957899932,0.4068312894627184,0.4805845812410484,0.6299546345748659
0.37,0.15910684416102938,0.2492096687742485,0.3057014202040799,0.3591815040063818,0.4181321586144605,0.49393415294218856,0.6474533744241676
0.38,0.16340702913835453,0.25594506522760657,0.3139636207501362,0.36888911222277054,0.42943302776620274,0.5072837246433288,0.6649521142734693
0.39,0.16770721411567963,0.2626804616809646,0.32222582129619237,0.37859672043915926,0.44073389691794496,0.5206332963444691,0.6824508541227713
0.4,0.17200739909300478,0.26941585813432267,0.33048802184224857,0.388304328655548,0.4520347660696871,0.5339828680456093,0.699949593972073
0.41,0.17630758407032987,0.27615125458768075,0.33875022238830477,0.3980119368719367,0.4633356352214293,0.5473324397467496,0.717448333821375
